contact_id,first_name,last_name,email,city,state,zip_code,donor_status,contact_created_date,first_gift_date,last_gift_date,total_gifts,total_number_of_gifts,average_gift,giving_vehicle,subscription_type,subscription_status,subscription_start_date,email_open_rate,last_email_click_date,event_attendance_count,wealth_score,notes,p2g_score,gift_capacity_rating,estimated_annual_donations,title,deceased,biography,business_affiliations,community_affiliations,expertise_and_interests,do_not_contact,do_not_call,email_opt_out,preferred_phone,preferred_email,hedgehog_review_subscriber,institute_status,foundation_status,lead_source,largest_gift,smallest_gift,best_gift_year,last_gift_amount
003XX00000ifVHfPhx,Christian,Wilson,christian.wilson95@example.com,Rockville,MD,20872,lapsed,2012-08-14,2021-04-25,2023-11-21,75,1,75.0,online,digital,active,2009-11-19,0.401,2022-07-10,0,2,,,,,,0,,,,,0,0,0,Work,Work,1,None,None,Direct Mail,75,75,2023,75
003XX00000wHE7eA17,Patrick,Martin,patrick.martin96@example.com,,,,prospect,2016-01-17,,,,,,,none,never,,,,0,,Gave stock gift in 2021,,,,,0,,,,,0,0,1,Mobile,,1,None,Prospect,Hedgehog Review,,,,
003XX00000OdmWeNrX,Victoria,King,victoria.king97@example.com,,,,prospect,2017-10-25,,,,,,,print,active,2010-04-02,0.35,2026-02-21,0,,Attended homecoming reception,,,3190.19,,0,,,,,0,0,0,Work,,1,Friend,Prospect,Email Campaign,,,,
003XX00000WiyVZVql,Eric,Campbell,eric.campbell98@example.com,Berkeley,CA,94522,prospect,2016-06-13,,,,,,,both,expired,2003-07-08,0.252,,0,,,1,,,,0,,,,,0,0,0,,,1,None,Prospect,Hedgehog Review,,,,
003XX00000tp6rEKGD,Jennifer,Taylor,jennifer.taylor99@example.com,,,,active,2013-11-27,2019-10-13,2020-09-17,400,1,400.0,online,none,never,,0.13,,1,,,60,Mid-Level,1778.7,Board Member,0,,,,,0,0,0,,,1,Friend,Annual Donor,Hedgehog Review,400,400,2020,400
003XX00000vJaH3tbe,Shirley,Clark,shirley.clark372@example.com,,,,lapsed,2015-03-05,2015-12-28,2023-09-18,300,4,75.0,online,digital,active,2014-04-28,0.628,2023-10-16,0,,,,,,,0,,,,,0,0,0,Mobile,,1,None,Annual Donor,Direct Mail,,,,
003XX00000BbPSzYUG,Paul,Walsh,paul.walsh642@example.com,Athens,GA,30321,lapsed,2020-01-24,2020-04-15,2021-06-30,35,1,35.0,online,none,never,,0.024,,3,,,5,,,,0,,,,,0,0,0,,Personal,1,None,None,Event,,,,
003XX000000aZejt9C,Michelle,Walsh,michelle.walsh842@example.com,Marietta,GA,30463,lapsed,2020-11-15,2022-08-27,2025-08-07,25,1,25.0,stock,print,active,2018-02-04,,,0,,,,,,,1,,,,,0,0,0,,,1,None,None,Email Campaign,,,,
003XX00000Yfs541OD,Christopher,Mitchell,christopher.mitchell322@example.com,Savannah,GA,30561,lapsed,2006-10-12,2007-03-16,2012-12-11,150,5,30.0,online,print,active,2013-07-05,0.128,,2,2,,,,,,0,,,,,0,0,0,,,1,None,Annual Donor,Event,,,,
003XX00000BjiQo3Hm,Gary,Lopez,gary.lopez132@example.com,Washington,DC,20244,new_donor,2011-03-14,2024-09-11,2026-02-22,25,4,6.25,online,none,never,,0.408,2025-04-06,0,3,,,,,,0,,,,,0,0,0,,Work,0,None,None,Website,,,,
003XX00000obbKtdbf,Jeffrey,Lewis,jeffrey.lewis432@example.com,,,,lapsed,2010-07-21,2012-05-21,2022-05-29,35,5,7.0,check,none,never,,,,0,3,,,,,CEO,1,,"Advisory Council, American Enterprise Institute",,,0,1,0,Home,,0,None,None,Hedgehog Review,,,,
